County,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another
ab,8.364126733419857,7.5850543198848746,11.173518736660514,0.00984588132761822,0.806166175249857,0.009628890787938769,0.0019622979925891446,-0.0,-0.0,0.004036304903304718,0.0011632170931550408,0.0007360222388447072,0.0013686692773999638,0.022684016561830556,0.0037897397977622073,0.0019141530082153616,0.0011632170931550408,0.002578540911510551,-0.0,0.0015699593190183613,-0.0,0.005043018913895966
ag,5.329211719350431,0.09841901011211807,12.097140880850063,0.0028811287045655857,0.006760831737429385,0.036857470819372816,0.024714074741480834,-0.0,0.011021198029767532,-0.0,-0.0,-0.0,0.003006924012532873,0.020975233340741202,0.0011898154640468958,-0.0,0.0003177064846908812,0.0005946338156851321,0.0027188715163630325,0.0005946338156851321,0.0005044667801234418,0.052306985227229
ar,11.996113363180209,11.484659400842013,12.555932726932298,1.5954167161195307,2.1985552357189984,0.014475446663535596,0.005176247867994996,-0.0,0.5004859934967,1.9629858160557738,0.28828162803923285,0.004078718857678912,0.0006874429655059857,0.050739709909582,0.01883041388338689,0.18991718593874474,0.0023665121008769013,0.0018345342654729295,0.0005983690489639506,0.001279070990725211,-0.0,0.5239703787923993
b,0.03805370663065365,0.01807745737216723,0.08815419602653131,0.0021036320421680753,0.007578118268929882,0.01320626533891948,0.005945134667375222,0.0029987880553626898,0.0016004791478479079,0.00030991662381287644,0.0022166252112634753,8.496392012703826e-05,0.004742932090985484,0.0030808260833689607,0.008242475143073686,0.00036898244493410346,0.0012835477474967924,0.0066103555694357555,0.003914259557649547,0.0004187536439520739,0.0020969579255303746,0.03274446990122778
bc,4.562081946860869,2.010409312284028,7.896651576917895,0.004230674009248966,0.04138444961607402,0.01351198204606912,0.004420387293354363,0.0005567801315289106,0.0003508308849987807,-0.0,-0.0,-0.0,0.007057558534586947,0.04999936545994319,0.0035444126307077775,-0.0,0.0010377412279308623,-0.0,0.007525224372542626,0.8331691642301855,-0.0,0.2263759302410051
bh,25.521431027702402,21.908522622635946,24.991148573496435,0.09293917595803326,0.4869941534099736,0.01527979343801407,0.010780561495715314,-0.0,0.00144768686774087,3.8255562833558763,0.0016393101611117179,-0.0,0.0026751748959296245,0.0344165166072573,0.04667581455137515,-0.0,0.011946835199226279,0.011397842470339929,0.014333586454652238,0.00034066596074993916,-0.0,0.15426864504096902
bn,7.958005829448233,7.681199960426523,10.245880829062294,0.053339949577423856,0.3792395318578648,0.002153245184350872,0.009579845574457976,-0.0,-0.0,-0.0,-0.0,-0.0,0.004834659483911888,0.003671528794452852,0.0013341753168672214,-0.0,0.000808731001524025,0.000808731001524025,-0.0,-0.0,-0.0,0.02637933678368697
br,2.5032268306167387,0.010586142302094639,6.480479385270205,0.002101514115585154,0.002101514115585154,0.08670061739438939,0.09232561935924673,0.0006091496661493132,-0.0,-0.0,0.0009884213666549225,-0.0,0.019878811407905646,0.0024948522400599703,0.0019008098795273954,-0.0,-0.0,-0.0,0.0008394235374362716,0.000367409249224634,0.0025594719379254073,0.013763961237668073
bt,1.2896659343021333,0.003533613186875669,2.6746432052864826,0.858593466047858,0.017469046873992117,0.0040567525472608185,0.0367990472207777,-0.0,-0.0,-0.0,-0.0,-0.0,0.001571249186710908,0.0014542025237761198,0.012143664169043418,-0.0,-0.0,-0.0,0.0025791301464453205,-0.0,-0.0,0.026546784495615032
bv,10.903133436930093,10.708364302561264,13.04092415495331,0.018578312770233363,2.273465919505801,0.007911272169239546,0.005870566313319366,0.0005547794073977481,0.0008255504711792926,0.0003259991603819751,0.005620483345178664,-0.0,0.003402637895474566,0.055735107405489884,0.0034458551737616173,0.00026620178084336776,0.0006647032029909626,0.0008255504711792926,0.0004421429487258244,0.013200696125936048,0.0005547794073977481,0.13258075599777422
bz,4.4437869815947035,0.028355237358009572,10.920432403980922,0.0005463417893705883,0.0029686360236594175,0.01307137994171341,0.0012431720086102853,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.004070149053941193,-0.0,-0.0,-0.0,0.038461852814152125,-0.0,-0.0,0.00042131169596881037,0.041346267955127775
cj,18.49394006928029,22.298089543944556,15.177893407925042,0.041741767209657284,0.07546791665905168,0.011056452012046103,0.0029650110123325187,0.00044883511017219924,0.0009209701684856197,0.03715484506639577,0.0007538653707376471,-0.0,0.004614708006151672,0.04614110957471364,0.015943585659884418,0.0003575143951885546,0.0010030307314708314,0.000538010626328165,0.015757523556488382,0.0006254358771012309,0.00021500835038822954,0.225378000508883
cl,5.7353277436117365,0.04257076578862935,11.883334455789162,0.005991313942080429,0.002005987261951829,0.0997065772878563,0.004413762841583685,0.009044002693700863,-0.0,-0.0,0.006222286830352045,-0.0,0.0009742067404239521,0.002005987261951829,0.0038517470359237414,-0.0,-0.0,0.0009742067404239521,0.018638555857471057,-0.0,0.018950668896061434,0.04410358855756373
cs,9.10397050885203,2.2354014883006825,8.847008859206985,2.023241033720568,2.7133114250949655,0.005161583599720859,0.011979744409314505,-0.0,2.665413127262517,0.20528390441525282,0.00474895149958526,0.7222166933519354,0.0024375347378479263,0.014452825127952306,0.004067424320248366,2.446946483519659,0.0008631439568644085,0.0006665714806696713,-0.0,0.0008631439568644085,-0.0,0.32940956864323906
ct,6.120280741093516,0.17490835610878835,4.120436841839338,0.007529696759827757,0.06030414362208147,6.058457250688563,0.5469874797190964,6.315660037295041,0.0017136469682136972,0.00025083831428444474,0.00808830939949747,0.00025083831428444474,0.026141229882492678,0.023918105387186545,0.0015840972044225434,-0.0,0.010085636848329001,0.0004702375025765921,0.031820936768020995,0.0015840972044225434,0.1164586932466557,0.17066527752125799
cv,8.901676882680047,6.156505700000103,4.761029589920382,0.006476270480198561,0.0698738064191268,0.0012492981397762579,0.0012492981397762579,-0.0,-0.0,-0.0,0.0007908423549836833,-0.0,-0.0,0.005030202588711946,0.0062642344328836495,-0.0,0.001023471964220212,-0.0,0.0007908423549836833,0.09217055039154577,-0.0,0.0029137098572910125
db,5.337498275798556,0.11861222044691806,11.410559295141761,0.0020509692438179595,0.005890624838658957,0.04398083550251705,0.0018988111975810924,-0.0,0.25550108211420297,-0.0,0.45293938043743354,-0.0,0.012310082021551578,0.03334312239910378,-0.0,-0.0,-0.0,-0.0,-0.0,0.009819806648294935,-0.0,0.09338098488812496
dj,8.708047282491515,0.08496160773927576,16.97125714221505,0.000747358818879713,0.0027422303170731143,0.0185052690733701,0.0004277065403833234,-0.0,0.004198348262789644,0.0001981335228609891,0.0029992218345063324,-0.0,0.02344194986128286,0.0071933308700406155,0.05465341614662,-0.0,0.000257464087378401,-0.0,-0.0,0.006168469351211843,0.18429922339351176,0.028830541485216632
