Company,Cluster
AMD,C2
ZNGA,C0
GRPN,C0
ATVI,C1
SQ,C0
XRX,C1
CVLT,C0
ON,C2
MRVL,C2
GDDY,C0
ENTG,C2
IT,C0
ATHM,C2
CY,C2
ZAYO,C1
NCR,C0
PSTG,C0
YNDX,C2
CGNX,C2
MX,C2
SABR,C2
WIT,C2
HQY,C2
GRUB,C2
NTCT,C0
TTWO,C2
KLAC,C2
PAYC,C2
QRVO,C0
DOX,C2
NUAN,C0
