Company,Cluster
AMD,C1
ZNGA,C1
GRPN,C1
ATVI,C0
SQ,C1
XRX,C0
CVLT,C1
ON,C1
MRVL,C1
GDDY,C1
ENTG,C1
IT,C1
ATHM,C1
CY,C1
ZAYO,C0
NCR,C1
PSTG,C1
YNDX,C1
CGNX,C1
MX,C1
SABR,C1
WIT,C0
HQY,C1
GRUB,C1
NTCT,C1
TTWO,C1
KLAC,C0
PAYC,C1
QRVO,C1
DOX,C1
NUAN,C1
