,Cercetare,Execb_venit,ConexTelFixa,Execb_subv,Export,Import,Innoptari,Lemn,PIB,PA_Veg,PA_Anim,Serv_Agric,Sup_Loc,SalNet,RataSom
ab,-0.3131200549943874,0.1540795887954351,0.07221670133113811,-0.3187099311708481,1.5728268874126596,0.30904521135448154,-0.1425168037089416,0.28107700808531794,0.3234858662224971,0.1392796389051699,1.1932174830367868,-0.09311127296798626,0.10176337043116065,-0.30128763853423524,-0.4529843058788314
ar,-0.219431669591234,0.4264950028148065,1.0256401558456012,-0.23653456944857804,1.8935200131979828,1.1703582128688947,-0.26872666283007746,0.5659882250951996,0.4392915587178375,1.3151316062274803,-0.05635077242484559,0.5280799289247444,1.0272012006769196,0.11632758568574228,-1.2574384643105825
ag,0.938275893625247,-0.06529146720852093,0.03453271354561707,-0.6474113780599298,2.7048840850230955,1.3546518942197765,-0.4413619252994933,0.08287790060018298,0.20949824479382717,-0.6979805188528905,-0.46471960796775175,-0.4561980261934589,0.5238929070344893,0.9142103311466749,-0.29209347419248105
bc,-0.3400465562936876,-1.4626241894698668,-0.25561542886211364,-0.9937020144601255,-0.6894484529045599,-0.49515558346348737,-0.5168140366016251,0.528825892441737,-0.6784697313348815,-1.0652810436890408,-0.43099086857168145,-0.4514611541095101,-0.9089121547056568,-0.12813010654058601,0.4721379763176822
bh,-0.3370371237955305,0.6109551490157231,1.1626390868097118,-0.25539994621128687,0.1507816466431962,0.08194084243272197,0.8728461052057355,-0.17725842797405678,-0.06454220903492164,-0.28096708677711474,0.21485107151424085,-0.24854677321105118,-0.036240516535312246,-0.644207456796168,-1.0161022167810572
bn,-0.2798579063305459,0.4720699429987608,-0.14256346550555052,1.0549669291655785,0.017644376667731623,-0.20608805852511491,-0.3559540864036374,1.0243236611545745,-0.3502560294905655,-0.4422652728650538,1.3139472148428288,-0.4660022498090739,-0.2148337820213366,-0.6713694225990934,-0.6943205534083567
bt,-0.3408121136835697,-1.1932195254071767,-1.196415675645466,0.029800161319077575,-0.7038596676237047,-0.6220251681179392,-0.7642688880804469,-0.6975310851225364,-0.9731676882979711,0.3159461500195133,1.1451999760684748,-0.3418521372832525,-1.050974979524084,-0.5796977880142202,-0.3323161821140688
br,-0.327639246871461,-0.09567476066449117,0.47931515065945146,1.2175420877383354,2.6253925222048435,1.7447838913865843,-0.36125687603580375,-0.8957301926076715,-0.43842753581356797,1.7776961998680039,0.9692565826109992,5.58386467992082,-1.4690455782754583,-0.8241554802405485,0.3514698525529196
bv,-0.18321288549060666,0.04831263230196133,1.1503871498942224,-1.4810945717649355,-0.8690694209620183,-0.7139176519001876,2.5347594382423435,-0.0038342089245635563,0.836989664141459,-1.1664253089264107,0.2886245997404885,-0.3470296486308244,0.5320107827383993,0.9074198396959435,-0.7747659692515317
bz,-0.3233362863697101,-0.6572370846457027,-0.6150055783831418,0.26467410201480407,-0.4504941833219102,-0.5279343140445281,-0.5814439514158879,-0.32590775858790805,-0.45692443275273537,0.4894689550076287,0.9720780964975467,-0.10622029106077492,0.23976725739763355,-0.6102549995425113,1.3570375505926084
